Russian Ring;Russian Ring;Russischer Ring;Anneau Russe;Russische Ring;Rysk Ring;;Russisk Ring;Russisk Ring;Anello Russo;
with 2 Russian Rings;with 2 Russian Rings;mit 2 russischen Ringen;avec 2 Anneaux Russes;met 2 Russische Ringen;med 2 Ryska Ringar;;med 2 Russiske Ringer;med 2 Russiske Ringe;con 2 Anelli Alla Russa;
V-Bar;V-Bar;V-Stab;Barre V;V-Bar;V-Stav;;V-Stav;V-Stav;V-Bar;
Xylophone Bar;Xylophone Bar;Xylophone Barren;Barre Xylophone;Xylofoon Bar;Xylofonstav;;Xylofonstav;Xylofonstav;Barra dello Xilofono;
Hexagon Bar;Hexagon Bar;Sechseck Barren;Barre Hexagone;Hexagon Bar;Hexagonstav;;Heksagonstav;Heksagonstav;Barra Esagonale;
Horizontal Bar;Horizontal Bar;Horizontale Barren;Barre Horizontale;Horizontale Bar;Horisontell Stav;;Horisontal Stav;Horisontal Stav;Barra Orizzontale;
Vertikal Bar;Vertikal Bar;Vertikale Barren;Barre Verticale;Verticale Bar;Vertikal Stav;;Vertikal Stav;Vertikal Stav;Barra Verticale;
3D Bar;3D Bar;3D-Barren;Barre 3D;3D Bar;3D-Stav;;3D-Stav;3D-Stav;Barra 3D;
Vertical 3D Bar;Vertical 3D Bar;Vertikale 3D-Barren;Barre 3D Verticale;Verticale 3D Bar;Vertikal 3D-Stav;;Vertikal 3D-Stav;Vertikal 3D-Stav;Barra 3D Verticale;
Triple 3D Bar;Triple 3D Bar;Triple 3D-Barren;Barre 3D Triple;Drievoudig 3D Bar;Trippel 3D-Stav;;Trippel 3D-Stav;Tredobbelt 3D-Stav;Barra 3D Tripla;
Heart-shaped 3D Bar;Heart-shaped 3D Bar;3D-Barren mit Herzform;Barre 3D Cœur;Hartvormige 3D Bar;Hjärtformad 3D-Stav;;Hjerteformet 3D-Stav;Hjerteformet 3D-Stav;Barra 3D a Forma di Cuore;
Drop ;Drop ;Tropfen;Goutte;Druppel;Droppe;;Dråpe;Dråbe;Goccia;
Heart Drop;Heart Drop;Herztropfen;Goutte de Cœur;Hartendruppel;Hjärtadroppe;;Hjertedråpe;Hjertedråbe;Goccia a Cuore;
Waterdrop;Waterdrop;Wassertropfen;Goutte d'Eau;Waterdruppel;Vattendroppe;;Vanndråpe;Vanddråbe;Goccia d'Acqua;
Teardrop;Teardrop;Tropfenform;Goutte;Tranendruppel;Tårdroppe;;Tåredråpe;Tåredråbe;Goccia;
4 Leaf Clover;4 Leaf Clover;4-blättriges Kleeblatt;Trèfle à Quatre Feuilles;Vierklavertje;Fyrklöver;;Firkløver;Firebladet kløver;4 Foglie di Trifoglio;
6 Leaf Clover;6 Leaf Clover;6-blättriges Kleeblatt;Trèfle à Six Feuilles;Zeskaveltje;Sexklöver;;Sekskløver;Seksløvet kløver;6 Foglie di Trifoglio;
Flower;Flower;Blume;Fleur;Bloem;Blomma;;Blomst;Blomst;Fiore;
Blossom Birth Flower;Blossom Birth Flower;Blühende Geburtsblume;Éclosion Fleur de Naissance;Bloesem Geboortebloem;Blomstrande Födelseblomma;;Blomstrende Fødselsblomst;Blomstrende Fødselsblomst;Fiore di Nascita ;
Blooming Birth Flower;Blooming Birth Flower;Blühende Geburtsblume;Éclosion Fleur de Naissance;Bloeiende Geboortebloem;Blommande Födelseblomma ;;Blomstrende Fødselsblomst;Blomstrende Fødselsblomst;Fiore di Nascita ;
Blossom Birth Flower & Stone;Blossom Birth Flower & Stone;Blühende Geburtsblume & Geburtsstein;Éclosion Fleur et Pierres de Naissance;Bloesem Geboortebloem & Geboortesteen ;Blomstrande Födelseblomma & Månadssten;;Blomstrende Fødselsblomst & Fødselsstein;Blomstrende Fødselsblomst & Fødselssten;Fiore di Nascita & Pietra Portafortuna;
Blooming Birth Flower & Stone;Blooming Birth Flower & Stone;Blühende Geburtsblume & Geburtsstein;Éclosion Fleur et Pierres de Naissance;Bloeiende Geboortebloem & Geboortesteen ;Blommande Födelseblomma & Månadssten;;Blomstrende Fødselsblomst & Fødselsstein;Blomstrende Fødselsblomst & Fødselssten;Fiore di Nascita & Pietra Portafortuna;
Butterfly;Butterfly;Schmetterling;Papillon;Vlinder;Fjäril;;Sommerfugl;Sommerfugl;Farfalla;
Birth Butterfly;Birth Butterfly;Geburtsschmetterling;Papillon de Naissance;Geboortevlinder;Födelsefjäril;;Fødselssommerfugl;Fødselssommerfugl;Farfalla di Nascita;
12 Month Calendar;12 Month Calendar;12-Monatskalender;Calendrier 12 Mois;12 Maanden Kalender;12-Månader Kalender;;12-Måneder Kalender;12-Måneder Kalender;Calendario 12 Mesi;
Heart Knot;Heart Knot;Herzknoten;Nœud de Cœur;Hartknoop;Hjärtnot;;Hjerteknute;Hjerteknude;Nodo a Cuore;
Love Knot;Love Knot;Liebesknoten;Nœud d'Amour;Liefdesknoop;Kärleksknut;;Kjærlighetsknute;Kærlighedsknude;Nodo d'Amore;
Evil Eye;Evil Eye;Evil Eye;Mauvais Œil;Boze Oog;Onda Ögat;;Onde øye;Ondt Øje;Malocchio;
Star;Star;Stern;Étoile;Ster;Stjärna;;Stjerne;Stjerne;Stella;
Leaf;Leaf;Blatt;Feuille;Blad;Blad;;Blad;Blad;Foglia;
Shell;Shell;Muschel;Coquillage;Schelp;Skal;;Skjell;Skal;Conchiglia;
Hamsa;Hamsa;Hamsa;Hamsa;Hamsa;Hamsa;;Hamsa;Hamsa;Hamsa;
Baby Feet;Baby Feet;Babyfüße;Pieds de Bébé;Babyvoetjes;Babyfötter;;Babyføtter;Babyfødder;Piedini di Bambini;
Dog Paw;Dog Paw;Hundepfote;Patte de chien;Hondenpoot;Hundtass;;Hundepote;Hundepote;Zampa di Cane;
Cross;Cross;Kreuz;Croix;Kruis;Kors;;Kors;Kors;Croce;
Compass;Compass;Kompass;Boussole;Kompas;Kompass;;Kompass;Kompas;Bussola;
Padlock;Padlock;Vorhängeschloss;Cadenas;Hangslot;Hänglås;;Hengelås;Hængelås;Lucchetto;
Handcuff;Handcuff;Handschelle;Menottes;Handboei;Handbojor;;Håndjern;Håndjern;Manette;
Princess Crown;Princess Crown;Prinzessinnenkrone;Couronne de Princesse;Prinsessenkroon;Prinsesskrona;;Prinsessekrone;Prinsessekrone;Corona di Principessa;
Angel Wing;Angel Wing;Engelsflügel;Aile d'Ange;Engelenvleugel;Ängelvinge;;Englevinge;Englevinge;Ala d'Angelo;
Unicorn;Unicorn;Einhorn;Licorne;Eenhoorn;Enhörning;;Enhjørning;Enhjørning;Unicorno;
Plane;Plane;Flugzeug;Avion;Vliegtuig;Flygplan;;Fly;Fly;Aereo;
Guitar;Guitar;Gitarre;Guitare;Gitaar;Gitarr;;Gitar;Guitar;Chitarra;
Horseshoe;Horseshoe;Hufeisen;Fer à cheval;Hoefijzer;Hästsko;;Hestesko;Hestesko;Ferro di Cavallo;
Basketball;Basketball;Basketball;Basketball;Basketbal;Basketboll;;Basketball;Basketball;Pallacanestro;
Football;Football;Football;Football;Footbal;Fotboll;;Fotball;Fodbold;Calcio;
Soccer;Soccer;Fußball;Soccer;Voetbal;Fotboll;;Fotball;Fodbold;Calcio;
Baseball;Baseball;Baseball;Baseball;Honkbal;Baseboll;;Baseball;Baseball;Baseball;
Initial;Initial;Initial;Initiale;Initiaal;Bokstav;;Bokstav;Bogstav;Iniziale;
Multi Initial;Multi Initial;Multiple Initialen;Multi Initiales;Meerdere Initialen;Multi Initial;;Flere Initialer;Flere Initialer;Multi Iniziale;
Monogram Initials;Monogram Initials;Monogramm-Initialen;Initiales Monogrammées;Monogram Initialen;Monogram Initialer;;Monogram Initialer;Monogram Initialer;Iniziali Monogramma;
Sideways Initial;Sideways Initial;mit seitlichem Initial;Initiale de Côté;Zijwaartse Initialen;Asymmetriskt Bokstav;;Sideveis Initial;Sidelæns Initial;Iniziale Laterale;
Angel Number;Angel Number;Engelszahl;Numéro d'Ange;Engelennummer;Änglanummer;;Engelnumre;Englenummer;Numero dell'Angelo;
Oval;Oval;Oval;Ovale;Ovaal;Oval;;Oval;Oval;Ovale;
Round;Round;Rund;Rond;Rond;Rund;;Rund;Rund;a Cerchio;
Rhombus;Rhombus;Rhombus;Losange;Ruit;Romb;;Rombe;Rhombe;Rombo;
Square;Square;Quadrat;Carré;Vierkant;Fyrkant;;Firkant;Kvadrat;Quadrato;
Wavy;Wavy;Wavy;Ondulé;Wavy;Vågig;;Bølget;Bølget;Ondulato;
Octagon;Octagon;Achteck;Octogone;Achthoek;Åttakant;;Oktagon;Ottekant;Ottagono;
Heart Shaped;Heart Shaped;Herzförmig;Forme de Cœur;Hartvormig;Hjärtformat;;Hjerteformet;Hjerteformet;A forma di Cuore;
